,hive_id,inspection_date,frames_of_bees,hive_grading_raw,hive_status_raw,hive_state,queen_present,varroa_count
88,3640,2022-06-02 17:04:39.152060+00:00,,strong,queenright,strong,True,
89,3640,2022-06-20 20:09:38.327903+00:00,,strong,,strong,True,
90,3640,2022-06-27 16:56:28.528070+00:00,,strong,queenright,strong,True,
91,3640,2022-07-04 22:29:45.073895+00:00,,strong,queenright,strong,True,
92,3640,2022-07-11 21:16:39.702514+00:00,20.0,strong,queenright,strong,True,
93,3640,2022-07-19 22:01:07.463697+00:00,20.0,strong,queenright,strong,True,
94,3640,2022-08-02 21:42:04.499432+00:00,,,,,True,
95,3640,2022-08-04 12:54:07.298692+00:00,,pulled honey super,,,True,
96,3640,2022-08-04 13:30:48.016327+00:00,,,,,True,
97,3640,2022-08-19 20:58:09.121551+00:00,,,,,True,
98,3640,2022-08-24 21:49:16.162001+00:00,,,,,True,
99,3640,2022-09-01 21:15:06.151120+00:00,,,,,True,3.0
100,3640,2022-09-01 23:11:04.071552+00:00,,,,,True,
101,3640,2022-09-07 21:59:56.665768+00:00,10.0,,,,True,
102,3640,2022-09-07 22:55:35.770404+00:00,,,,,True,
103,3640,2022-09-21 15:45:49.317999+00:00,,,,,True,
104,3640,2022-09-29 21:46:36.160584+00:00,,,,,True,
105,3640,2022-09-30 20:40:06.773754+00:00,,,,,True,2.0
106,3640,2022-11-11 19:02:51.525194+00:00,,,,,True,
107,3640,2023-04-27 20:05:53.893208+00:00,,,deadout,,,
108,3690,2022-06-02 17:06:19.928154+00:00,,medium,queenless,medium,False,
109,3690,2022-06-02 17:23:44.205093+00:00,,,queenless,,False,
110,3690,2022-06-07 20:16:44.850977+00:00,,medium,queenless,medium,False,
111,3690,2022-06-14 16:16:08.568083+00:00,,strong,queenright,strong,True,
112,3690,2022-06-20 20:37:56.780597+00:00,,medium,,medium,True,
113,3690,2022-06-27 17:06:41.787811+00:00,,medium,queenright,medium,True,
114,3690,2022-07-04 22:14:55.854482+00:00,,strong,queenright,strong,True,
115,3690,2022-07-11 21:04:44.651850+00:00,17.0,medium,queenright,medium,True,
116,3690,2022-07-19 22:31:31.986470+00:00,,,queenright,,True,
117,3690,2022-08-04 12:54:07.298692+00:00,,pulled honey super,,,True,
118,3690,2022-08-04 13:30:48.016327+00:00,,,,,True,
119,3690,2022-08-19 18:57:29.809983+00:00,18.0,medium,queenright,medium,True,
120,3690,2022-08-24 21:37:12.701188+00:00,,,,,True,
121,3690,2022-09-01 23:11:04.071552+00:00,,,,,True,
122,3690,2022-09-07 22:15:47.034006+00:00,9.0,,,,True,
123,3690,2022-09-07 22:55:35.770404+00:00,,,,,True,
